timestamp,in_station,out_station,flow
2023-03-01 04:00:00,Node_0,Node_0,1.0
2023-03-01 04:15:00,Node_0,Node_0,1.0
2023-03-01 04:15:00,Node_1,Node_1,1.0
2023-03-01 05:00:00,Node_7,Node_7,1.0
2023-03-01 05:30:00,Node_0,Node_0,3.0
2023-03-01 05:30:00,Node_1,Node_1,1.0
2023-03-01 05:30:00,Node_2,Node_1,1.0
2023-03-01 05:30:00,Node_6,Node_6,2.0
2023-03-01 05:45:00,Node_5,Node_4,1.0
2023-03-01 05:45:00,Node_2,Node_5,1.0
2023-03-01 05:45:00,Node_2,Node_2,1.0
2023-03-01 05:45:00,Node_1,Node_1,1.0
2023-03-01 05:45:00,Node_0,Node_0,2.0
2023-03-01 05:45:00,Node_1,Node_4,1.0
2023-03-01 06:00:00,Node_2,Node_1,1.0
2023-03-01 06:00:00,Node_5,Node_5,2.0
2023-03-01 06:00:00,Node_3,Node_2,1.0
2023-03-01 06:00:00,Node_3,Node_0,1.0
2023-03-01 06:00:00,Node_1,Node_6,2.0
2023-03-01 06:00:00,Node_3,Node_3,2.0
2023-03-01 06:00:00,Node_1,Node_2,2.0
2023-03-01 06:00:00,Node_1,Node_1,1.0
2023-03-01 06:00:00,Node_1,Node_0,1.0
2023-03-01 06:00:00,Node_0,Node_3,1.0
2023-03-01 06:00:00,Node_1,Node_4,2.0
2023-03-01 06:15:00,Node_6,Node_6,1.0
2023-03-01 06:15:00,Node_5,Node_2,2.0
2023-03-01 06:15:00,Node_4,Node_1,1.0
2023-03-01 06:15:00,Node_3,Node_4,1.0
2023-03-01 06:15:00,Node_3,Node_3,1.0
2023-03-01 06:15:00,Node_3,Node_6,1.0
2023-03-01 06:15:00,Node_1,Node_5,1.0
2023-03-01 06:15:00,Node_1,Node_4,2.0
2023-03-01 06:15:00,Node_1,Node_1,5.0
2023-03-01 06:15:00,Node_1,Node_0,1.0
2023-03-01 06:15:00,Node_0,Node_6,1.0
2023-03-01 06:15:00,Node_1,Node_6,1.0
2023-03-01 06:30:00,Node_3,Node_3,5.0
2023-03-01 06:30:00,Node_3,Node_4,3.0
2023-03-01 06:30:00,Node_4,Node_0,1.0
2023-03-01 06:30:00,Node_4,Node_4,1.0
2023-03-01 06:30:00,Node_6,Node_1,1.0
2023-03-01 06:30:00,Node_5,Node_5,2.0
2023-03-01 06:30:00,Node_6,Node_5,2.0
2023-03-01 06:30:00,Node_6,Node_6,2.0
2023-03-01 06:30:00,Node_3,Node_2,1.0
2023-03-01 06:30:00,Node_4,Node_5,1.0
2023-03-01 06:30:00,Node_3,Node_1,1.0
2023-03-01 06:30:00,Node_0,Node_3,1.0
2023-03-01 06:30:00,Node_2,Node_3,1.0
2023-03-01 06:30:00,Node_2,Node_5,7.0
2023-03-01 06:30:00,Node_0,Node_4,1.0
2023-03-01 06:30:00,Node_1,Node_1,1.0
2023-03-01 06:30:00,Node_1,Node_2,2.0
2023-03-01 06:30:00,Node_0,Node_5,3.0
2023-03-01 06:30:00,Node_1,Node_5,3.0
2023-03-01 06:30:00,Node_1,Node_6,1.0
2023-03-01 06:30:00,Node_2,Node_0,1.0
2023-03-01 06:30:00,Node_2,Node_1,2.0
2023-03-01 06:30:00,Node_1,Node_4,4.0
2023-03-01 06:45:00,Node_5,Node_1,3.0
2023-03-01 06:45:00,Node_3,Node_5,2.0
2023-03-01 06:45:00,Node_4,Node_3,1.0
2023-03-01 06:45:00,Node_4,Node_4,1.0
2023-03-01 06:45:00,Node_4,Node_5,6.0
2023-03-01 06:45:00,Node_4,Node_6,1.0
2023-03-01 06:45:00,Node_5,Node_5,2.0
2023-03-01 06:45:00,Node_6,Node_5,12.0
2023-03-01 06:45:00,Node_6,Node_0,1.0
2023-03-01 06:45:00,Node_6,Node_2,1.0
2023-03-01 06:45:00,Node_6,Node_4,1.0
2023-03-01 06:45:00,Node_7,Node_5,2.0
2023-03-01 06:45:00,Node_7,Node_7,1.0
2023-03-01 06:45:00,Node_3,Node_4,2.0
2023-03-01 06:45:00,Node_5,Node_7,1.0
2023-03-01 06:45:00,Node_3,Node_3,2.0
2023-03-01 06:45:00,Node_2,Node_1,1.0
2023-03-01 06:45:00,Node_3,Node_1,1.0
2023-03-01 06:45:00,Node_3,Node_2,2.0
2023-03-01 06:45:00,Node_0,Node_0,2.0
2023-03-01 06:45:00,Node_0,Node_1,1.0
2023-03-01 06:45:00,Node_0,Node_2,1.0
2023-03-01 06:45:00,Node_0,Node_5,5.0
2023-03-01 06:45:00,Node_1,Node_1,4.0
2023-03-01 06:45:00,Node_1,Node_2,5.0
2023-03-01 06:45:00,Node_1,Node_0,1.0
2023-03-01 06:45:00,Node_1,Node_4,1.0
2023-03-01 06:45:00,Node_1,Node_5,7.0
2023-03-01 06:45:00,Node_1,Node_6,3.0
2023-03-01 06:45:00,Node_2,Node_0,1.0
2023-03-01 06:45:00,Node_2,Node_3,1.0
2023-03-01 06:45:00,Node_2,Node_5,11.0
2023-03-01 06:45:00,Node_1,Node_3,1.0
2023-03-01 07:00:00,Node_5,Node_2,3.0
2023-03-01 07:00:00,Node_4,Node_1,3.0
2023-03-01 07:00:00,Node_4,Node_3,1.0
2023-03-01 07:00:00,Node_4,Node_5,1.0
2023-03-01 07:00:00,Node_4,Node_6,1.0
2023-03-01 07:00:00,Node_5,Node_0,1.0
2023-03-01 07:00:00,Node_5,Node_3,1.0
2023-03-01 07:00:00,Node_7,Node_5,2.0
2023-03-01 07:00:00,Node_5,Node_5,1.0
2023-03-01 07:00:00,Node_5,Node_6,2.0
2023-03-01 07:00:00,Node_6,Node_1,1.0
2023-03-01 07:00:00,Node_6,Node_3,3.0
2023-03-01 07:00:00,Node_6,Node_5,6.0
2023-03-01 07:00:00,Node_7,Node_4,1.0
2023-03-01 07:00:00,Node_7,Node_7,3.0
2023-03-01 07:00:00,Node_5,Node_4,1.0
2023-03-01 07:00:00,Node_3,Node_4,1.0
2023-03-01 07:00:00,Node_3,Node_6,3.0
2023-03-01 07:00:00,Node_3,Node_2,2.0
2023-03-01 07:00:00,Node_3,Node_3,1.0
2023-03-01 07:00:00,Node_0,Node_0,2.0
2023-03-01 07:00:00,Node_0,Node_1,1.0
2023-03-01 07:00:00,Node_0,Node_2,2.0
2023-03-01 07:00:00,Node_0,Node_4,1.0
2023-03-01 07:00:00,Node_0,Node_5,11.0
2023-03-01 07:00:00,Node_1,Node_1,5.0
2023-03-01 07:00:00,Node_0,Node_3,1.0
2023-03-01 07:00:00,Node_1,Node_4,2.0
2023-03-01 07:00:00,Node_1,Node_5,11.0
2023-03-01 07:00:00,Node_1,Node_6,2.0
2023-03-01 07:00:00,Node_1,Node_7,1.0
2023-03-01 07:00:00,Node_2,Node_2,1.0
2023-03-01 07:00:00,Node_2,Node_3,4.0
2023-03-01 07:00:00,Node_2,Node_5,11.0
2023-03-01 07:00:00,Node_1,Node_2,2.0
2023-03-01 07:15:00,Node_4,Node_4,1.0
2023-03-01 07:15:00,Node_3,Node_4,1.0
2023-03-01 07:15:00,Node_3,Node_6,1.0
2023-03-01 07:15:00,Node_4,Node_0,1.0
2023-03-01 07:15:00,Node_4,Node_1,3.0
2023-03-01 07:15:00,Node_4,Node_2,2.0
2023-03-01 07:15:00,Node_4,Node_3,3.0
2023-03-01 07:15:00,Node_4,Node_5,1.0
2023-03-01 07:15:00,Node_7,Node_7,1.0
2023-03-01 07:15:00,Node_5,Node_4,2.0
2023-03-01 07:15:00,Node_5,Node_5,2.0
2023-03-01 07:15:00,Node_6,Node_1,1.0
2023-03-01 07:15:00,Node_6,Node_2,1.0
2023-03-01 07:15:00,Node_6,Node_3,1.0
2023-03-01 07:15:00,Node_6,Node_5,5.0
2023-03-01 07:15:00,Node_3,Node_3,1.0
2023-03-01 07:15:00,Node_5,Node_1,2.0
2023-03-01 07:15:00,Node_3,Node_2,2.0
2023-03-01 07:15:00,Node_6,Node_6,2.0
2023-03-01 07:15:00,Node_2,Node_6,1.0
2023-03-01 07:15:00,Node_0,Node_0,3.0
2023-03-01 07:15:00,Node_3,Node_1,1.0
2023-03-01 07:15:00,Node_0,Node_3,4.0
2023-03-01 07:15:00,Node_0,Node_4,1.0
2023-03-01 07:15:00,Node_0,Node_6,1.0
2023-03-01 07:15:00,Node_0,Node_7,1.0
2023-03-01 07:15:00,Node_1,Node_1,5.0
2023-03-01 07:15:00,Node_1,Node_2,8.0
2023-03-01 07:15:00,Node_0,Node_5,3.0
2023-03-01 07:15:00,Node_1,Node_4,1.0
2023-03-01 07:15:00,Node_1,Node_5,5.0
2023-03-01 07:15:00,Node_1,Node_6,10.0
2023-03-01 07:15:00,Node_2,Node_1,1.0
2023-03-01 07:15:00,Node_2,Node_2,2.0
2023-03-01 07:15:00,Node_2,Node_3,5.0
2023-03-01 07:15:00,Node_2,Node_5,11.0
2023-03-01 07:15:00,Node_1,Node_3,2.0
2023-03-01 07:30:00,Node_4,Node_5,2.0
2023-03-01 07:30:00,Node_4,Node_4,1.0
2023-03-01 07:30:00,Node_4,Node_3,2.0
2023-03-01 07:30:00,Node_3,Node_4,1.0
2023-03-01 07:30:00,Node_4,Node_1,2.0
2023-03-01 07:30:00,Node_4,Node_0,1.0
2023-03-01 07:30:00,Node_5,Node_2,5.0
2023-03-01 07:30:00,Node_4,Node_2,1.0
2023-03-01 07:30:00,Node_5,Node_4,4.0
2023-03-01 07:30:00,Node_7,Node_7,3.0
2023-03-01 07:30:00,Node_6,Node_2,2.0
2023-03-01 07:30:00,Node_6,Node_3,3.0
2023-03-01 07:30:00,Node_6,Node_4,2.0
2023-03-01 07:30:00,Node_6,Node_5,5.0
2023-03-01 07:30:00,Node_6,Node_6,2.0
2023-03-01 07:30:00,Node_7,Node_1,1.0
2023-03-01 07:30:00,Node_7,Node_3,1.0
2023-03-01 07:30:00,Node_3,Node_2,7.0
2023-03-01 07:30:00,Node_5,Node_5,2.0
2023-03-01 07:30:00,Node_3,Node_1,2.0
2023-03-01 07:30:00,Node_3,Node_3,1.0
2023-03-01 07:30:00,Node_2,Node_5,13.0
2023-03-01 07:30:00,Node_3,Node_0,3.0
2023-03-01 07:30:00,Node_0,Node_0,3.0
2023-03-01 07:30:00,Node_0,Node_1,3.0
2023-03-01 07:30:00,Node_0,Node_2,2.0
2023-03-01 07:30:00,Node_0,Node_3,5.0
2023-03-01 07:30:00,Node_0,Node_4,3.0
2023-03-01 07:30:00,Node_0,Node_6,1.0
2023-03-01 07:30:00,Node_1,Node_1,2.0
2023-03-01 07:30:00,Node_1,Node_2,12.0
2023-03-01 07:30:00,Node_1,Node_3,5.0
2023-03-01 07:30:00,Node_0,Node_5,5.0
2023-03-01 07:30:00,Node_1,Node_5,13.0
2023-03-01 07:30:00,Node_1,Node_4,2.0
2023-03-01 07:30:00,Node_2,Node_3,2.0
2023-03-01 07:30:00,Node_2,Node_2,1.0
2023-03-01 07:30:00,Node_2,Node_1,1.0
2023-03-01 07:30:00,Node_2,Node_4,3.0
2023-03-01 07:30:00,Node_1,Node_7,1.0
2023-03-01 07:30:00,Node_1,Node_6,9.0
2023-03-01 07:30:00,Node_2,Node_0,1.0
2023-03-01 07:45:00,Node_5,Node_2,13.0
2023-03-01 07:45:00,Node_4,Node_0,1.0
2023-03-01 07:45:00,Node_4,Node_1,2.0
2023-03-01 07:45:00,Node_4,Node_2,1.0
2023-03-01 07:45:00,Node_4,Node_3,8.0
2023-03-01 07:45:00,Node_7,Node_7,1.0
2023-03-01 07:45:00,Node_4,Node_6,1.0
2023-03-01 07:45:00,Node_5,Node_0,2.0
2023-03-01 07:45:00,Node_5,Node_1,1.0
2023-03-01 07:45:00,Node_5,Node_3,1.0
2023-03-01 07:45:00,Node_7,Node_5,4.0
2023-03-01 07:45:00,Node_5,Node_5,3.0
2023-03-01 07:45:00,Node_6,Node_0,1.0
2023-03-01 07:45:00,Node_6,Node_1,1.0
2023-03-01 07:45:00,Node_6,Node_2,4.0
2023-03-01 07:45:00,Node_6,Node_3,3.0
2023-03-01 07:45:00,Node_6,Node_4,1.0
2023-03-01 07:45:00,Node_6,Node_5,8.0
2023-03-01 07:45:00,Node_7,Node_1,1.0
2023-03-01 07:45:00,Node_7,Node_2,1.0
2023-03-01 07:45:00,Node_3,Node_6,2.0
2023-03-01 07:45:00,Node_5,Node_4,4.0
2023-03-01 07:45:00,Node_3,Node_4,6.0
2023-03-01 07:45:00,Node_4,Node_4,2.0
2023-03-01 07:45:00,Node_3,Node_2,22.0
2023-03-01 07:45:00,Node_0,Node_0,3.0
2023-03-01 07:45:00,Node_0,Node_1,1.0
2023-03-01 07:45:00,Node_0,Node_2,4.0
2023-03-01 07:45:00,Node_0,Node_3,6.0
2023-03-01 07:45:00,Node_0,Node_4,1.0
2023-03-01 07:45:00,Node_0,Node_5,8.0
2023-03-01 07:45:00,Node_0,Node_6,2.0
2023-03-01 07:45:00,Node_0,Node_7,1.0
2023-03-01 07:45:00,Node_1,Node_1,6.0
2023-03-01 07:45:00,Node_1,Node_2,28.0
2023-03-01 07:45:00,Node_3,Node_3,3.0
2023-03-01 07:45:00,Node_1,Node_4,14.0
2023-03-01 07:45:00,Node_1,Node_5,12.0
2023-03-01 07:45:00,Node_1,Node_6,3.0
2023-03-01 07:45:00,Node_2,Node_0,1.0
2023-03-01 07:45:00,Node_2,Node_1,1.0
2023-03-01 07:45:00,Node_2,Node_3,12.0
2023-03-01 07:45:00,Node_2,Node_5,4.0
2023-03-01 07:45:00,Node_2,Node_6,1.0
2023-03-01 07:45:00,Node_3,Node_0,1.0
2023-03-01 07:45:00,Node_3,Node_1,2.0
2023-03-01 07:45:00,Node_1,Node_3,18.0
2023-03-01 08:00:00,Node_4,Node_2,1.0
2023-03-01 08:00:00,Node_4,Node_1,1.0
2023-03-01 08:00:00,Node_4,Node_0,1.0
2023-03-01 08:00:00,Node_3,Node_7,2.0
2023-03-01 08:00:00,Node_3,Node_2,35.0
2023-03-01 08:00:00,Node_3,Node_5,2.0
2023-03-01 08:00:00,Node_3,Node_4,2.0
2023-03-01 08:00:00,Node_3,Node_3,2.0
